game,loss_red,loss_blue,win_rate,weights_red,weights_blue
242,-61447.29296875,-59901.86328125,,"[0.6380243188032568, 0.3493799683631633, 0.8901684265032913, 0.2715173275381481]","[0.013467721176513875, 0.6666875965166897, 0.9586124765550978, 0.335277212158105]"
243,-64713.9609375,-63113.4375,,"[0.6437748714474996, 0.3284045342183864, 0.8979957422464266, 0.2701032145549075]","[0.07210855980459024, 0.639992224652131, 0.9779346797176902, 0.34960206984085807]"
244,-83960.1796875,-81883.515625,,"[0.6548147322178781, 0.3141535486819835, 0.9614342458681578, 0.27821633032653276]","[0.13528295022471437, 0.5977085520949376, 0.9396244740798865, 0.31425362717218824]"
245,-105103.6328125,-102363.359375,,"[0.6494656922540039, 0.35562457388680546, 0.9464961695663688, 0.33359425740255205]","[0.0804061158448946, 0.5840841121467956, 0.9716494515093738, 0.3662371098419488]"
246,-61881.11328125,-62144.7109375,,"[0.6448188659437194, 0.32736231205522187, 0.9407980187769523, 0.32892745516288435]","[0.15883502987367026, 0.6337823770882239, 0.9085185819701446, 0.35728194356293874]"
247,-103375.0078125,-100620.8671875,,"[0.6500738606321632, 0.3848694694113126, 0.9487485724777968, 0.24927705448614973]","[0.05506261670646327, 0.6104052655942183, 0.8403575837605153, 0.34591347475197404]"
248,-152944.578125,-148708.34375,,"[0.6837497743203457, 0.33274830572034675, 0.8500125163313362, 0.3074751872406979]","[0.09461922074552939, 0.6132109209014599, 0.9207505143180453, 0.3348628322979839]"
249,-144389.625,-145012.015625,,"[0.6356680573083148, 0.3123028057576012, 0.9322401822268057, 0.25040331430307106]","[0.13637644431419826, 0.692995688776103, 0.917673817201103, 0.3180455941227767]"
250,-140763.71875,-137382.0,0.7199999999712,"[0.6902177452702882, 0.39423188524717834, 0.9556125017228868, 0.35791406673500314]","[0.08932596513462068, 0.5968284627880772, 0.955726261842995, 0.32304076905533174]"
251,-57485.2421875,-57718.9921875,,"[0.6402769813339201, 0.35984598734042783, 0.9577422472420005, 0.3030178895635617]","[0.06851276207524722, 0.6012764330895148, 1.0, 0.310830183261816]"
252,-96891.234375,-94386.3359375,,"[0.6935975776342722, 0.3302149599216433, 0.9490629539332172, 0.2980117805243338]","[0.0701848484384517, 0.6553560934789411, 0.8989754854046693, 0.32906822928882445]"
253,-114063.296875,-111161.3515625,,"[0.6716620851747981, 0.3757438064750195, 0.9370201500431707, 0.3468014943835236]","[0.11264577945635885, 0.5661110479579751, 0.9519151524708365, 0.3166971767354967]"
254,-132732.21875,-131252.328125,,"[0.6363273578053262, 0.3053004321233391, 0.9121289948853898, 0.31450008389912143]","[0.11505108968259412, 0.5587858524812858, 0.9664437980067342, 0.38425985538086793]"
255,-104599.9765625,-105024.203125,,"[0.6506907547339409, 0.3419887733263924, 0.9930315300905456, 0.26849112925782764]","[0.15090652674033103, 0.5585701910782703, 0.9111715791348646, 0.29885136767922554]"
256,-79746.953125,-80069.09375,,"[0.6622269278399582, 0.3605825108733137, 0.9576624645435241, 0.29805586695155384]","[0.06837166821411828, 0.5913773133426659, 0.9495181750267006, 0.3032185566305551]"
257,-45218.8984375,-45400.58984375,,"[0.6423734570502936, 0.31571371527317094, 0.9117288835290196, 0.2882250771664851]","[0.19520371927525143, 0.612016123005154, 0.9391410132097173, 0.34820264046879945]"
258,-107135.703125,-104092.609375,,"[0.5680835889475229, 0.389979806524246, 0.9738935149299164, 0.2291753136087642]","[0.08809797398032675, 0.6181119980056795, 0.9351604674126396, 0.3604653338099607]"
259,-161331.6875,-156827.6875,,"[0.6176264884604822, 0.4285995183975721, 0.8858621954879979, 0.2746229736643219]","[0.12019441367374649, 0.5614680737407459, 1.0, 0.38487436216741955]"
260,-196633.40625,-191513.3125,,"[0.6544764729346009, 0.3552413623684773, 0.9275991529272876, 0.3020864943566731]","[0.0932805338040929, 0.6001393664066327, 0.9493061451587835, 0.2774111268776711]"
261,-220868.234375,-214910.453125,,"[0.6868758004885755, 0.3014460279279887, 0.9330676546530141, 0.2958910693557172]","[0.07646458837140668, 0.5842331869328028, 0.9882948352184135, 0.30237526191902736]"
262,-235227.875,-228990.875,,"[0.6212306210005236, 0.39332709105207725, 1.0, 0.24445304049776795]","[0.02538767449687826, 0.6327051765500459, 0.946027352160953, 0.3153829891545313]"
263,-235421.625,-229385.5,,"[0.6014236007364819, 0.3264105136518545, 0.9451900275271726, 0.27725331008600684]","[0.11035096163543233, 0.6382989827444151, 0.9512273427177229, 0.32133241241860655]"
264,-113323.6171875,-113758.953125,,"[0.6685384833847196, 0.3188542553435098, 0.9563980882837335, 0.24965432442670005]","[0.05639856725700808, 0.5904759214049352, 0.9594142339275324, 0.3216073253669889]"
265,-130949.4140625,-127591.296875,,"[0.6646606320466808, 0.28738560763794285, 0.9444685028184494, 0.27260964394824955]","[0.1368077064867482, 0.65157867678949, 0.9757637662533181, 0.32990928955243476]"
266,-130249.390625,-127013.265625,,"[0.6066522223359168, 0.27294453810539604, 0.945319461238753, 0.29025052954922076]","[0.09249804008332077, 0.5565546161659214, 0.9341610927606159, 0.34174104968941943]"
267,-135002.515625,-131645.140625,,"[0.5794636578106287, 0.357758299149727, 0.9130912958381476, 0.2413516015343493]","[0.11794544306921564, 0.651921944513376, 0.9344476186300845, 0.3252417622387501]"
268,-148150.265625,-144464.78125,,"[0.6227861906788879, 0.3027658979232147, 0.9585840430270839, 0.33099958001389546]","[0.11964607798195613, 0.6076895523774835, 0.9898500197661574, 0.36462063151142327]"
269,-167570.375,-163108.0625,,"[0.6452906758364153, 0.40942658769037227, 0.9139802470487823, 0.34865990219605075]","[0.1479608340710394, 0.6337918322280889, 0.9496517747032025, 0.4051198279212156]"
270,-234429.375,-222703.171875,,"[0.6353895788487529, 0.29321791001182246, 0.9966826105720009, 0.28556042768161344]","[0.14237529535484272, 0.6221957856634216, 0.9726758251968941, 0.31185761978942944]"
271,-255068.125,-256023.5625,,"[0.6306649032685877, 0.3692701535047601, 0.9937845254958807, 0.2692585348996253]","[0.1419908837238713, 0.6123636881620977, 0.9770819693918741, 0.3399917669820187]"
272,-249051.125,-242635.203125,,"[0.6329973779432043, 0.34974227349756415, 0.9763678958867883, 0.3024898297432946]","[0.11592246512459481, 0.5648106302462761, 0.9983644309157927, 0.297595184110169]"
273,-218847.0,-219660.203125,,"[0.6733119795371832, 0.35199596222858404, 0.9711390138683978, 0.33821182690214474]","[0.10150914736995546, 0.6236973606696266, 0.9903618267778269, 0.34680239303358007]"
274,-235214.453125,-228817.59375,,"[0.681474409323712, 0.35158101610319964, 0.9497351618904621, 0.2788251245398715]","[0.13010487054688658, 0.579911197846321, 0.9320854173944053, 0.3932412260340427]"
275,-265443.875,-258344.140625,,"[0.6768296871062691, 0.30983928372441993, 1.0, 0.29552657031379875]","[0.09085109320293855, 0.6599425416682037, 0.994305670621775, 0.3984620878128448]"
276,-276277.3125,-269252.03125,,"[0.6285034824313165, 0.30694025666511293, 0.9757635849146492, 0.30040740787636955]","[0.1784230275795365, 0.5875040285857616, 0.9033133959059179, 0.32714673902740143]"
277,-261348.015625,-254806.71875,,"[0.6658510555621101, 0.3946912712029807, 0.9369433746441161, 0.31281410355367467]","[0.16001532203278182, 0.6186713716150131, 0.9284104229797394, 0.3245172867738927]"
278,-245989.875,-239627.046875,,"[0.5937549919245422, 0.30670918449006335, 0.9193396438868059, 0.3201238651607386]","[0.10515482620401767, 0.5940583916403955, 0.981725479310896, 0.311374874122223]"
279,-261490.09375,-254361.53125,,"[0.6322088155548713, 0.38464780502426005, 0.9353578039723747, 0.24676646521214668]","[0.13330588648069883, 0.6818049509805344, 0.930009332347935, 0.24450842231700304]"
280,-267606.0,-256891.828125,,"[0.5945420599197403, 0.29736364093487044, 0.9288263946529264, 0.240537696505135]","[0.08721296224455162, 0.6114765349931901, 0.9314437808918781, 0.3290834692858233]"
281,-267444.90625,-260623.390625,,"[0.6076449581501341, 0.29833456211911547, 0.9460419868017914, 0.3095504362689935]","[0.12918439351786032, 0.5482405559459892, 0.9559864733508476, 0.3366422144464573]"
282,-293642.5625,-284345.75,,"[0.6862745617731272, 0.28388708575385996, 1.0, 0.2954762684786594]","[0.18721526311802975, 0.6626515608358207, 0.9345183068059765, 0.29580653669517537]"
283,-341585.84375,-332715.5625,,"[0.603005383536741, 0.31478805355968786, 1.0, 0.31490377229267497]","[0.16169378506607235, 0.5604404149686049, 0.9499742005823528, 0.3867954418299688]"
284,-349258.15625,-345178.09375,,"[0.6415927583369564, 0.358617562379858, 0.9301525192553654, 0.28618332823761566]","[0.09689749693348479, 0.584550544421881, 0.9240904757172923, 0.39142525582297183]"
285,-346511.90625,-337649.25,,"[0.6258350738616644, 0.3377986140803078, 0.9917347680154636, 0.29933799177250164]","[0.22831437586408282, 0.6062596265087407, 1.0, 0.31165718355029015]"
286,-294393.6875,-295418.25,,"[0.6200651788127448, 0.3968460952338968, 0.9556542709331872, 0.2651164359184518]","[0.09962888363865491, 0.6535457549518969, 0.9945883174173712, 0.30884031739022405]"
287,-277959.59375,-270957.75,,"[0.6187023628005004, 0.3128518085394961, 0.9786827014352663, 0.3027349367377635]","[0.078517642210574, 0.5926143988277606, 0.9975349312017745, 0.34180882949924407]"
288,-255611.265625,-249062.421875,,"[0.7200493548223786, 0.3518421106312453, 0.9405646586048083, 0.27837859718161684]","[0.05854306734557686, 0.5567642102780461, 0.9772908523369601, 0.316694095375942]"
289,-271029.15625,-263718.9375,,"[0.6819156708840651, 0.37507652347749865, 0.9855253196132248, 0.28751339978923857]","[0.09591387682735998, 0.617548091894406, 1.0, 0.31715788372428894]"
290,-294961.875,-287000.9375,,"[0.6367054439191072, 0.3239138013299771, 0.9533098352137825, 0.34543593067138806]","[0.16841376896222227, 0.5825826693374976, 0.9943721357864213, 0.32251922110393383]"
291,-290752.40625,-283413.5625,,"[0.607681132109837, 0.2926719578960963, 0.9780561272866212, 0.28308669949097776]","[0.07969787393977217, 0.6019740632812807, 0.9823664686353966, 0.31059656977354677]"
292,-301676.8125,-293390.0,,"[0.7489114105051766, 0.35006078278070973, 0.972161810395239, 0.337152617189322]","[0.11575817611560336, 0.602608147204088, 0.925389302672262, 0.3155390928669922]"
293,-306171.59375,-298303.03125,,"[0.5838094278989829, 0.3351560249212544, 0.9577677078659291, 0.30119977705084966]","[0.19069647935208925, 0.6001407916264957, 0.9224775547235264, 0.35519375081586146]"
294,-254216.890625,-255067.96875,,"[0.6674744343847326, 0.333248836080454, 0.950439020463708, 0.30195134645010996]","[0.18088662800580546, 0.62963998483133, 0.9328974277444282, 0.26848087323960385]"
295,-244707.3125,-238512.71875,,"[0.6093471669346384, 0.32295433164160153, 0.9984669145344793, 0.37030104422462334]","[0.10355217794625808, 0.6480656538076952, 0.8896382329707954, 0.3369799119986999]"
296,-238433.359375,-232390.5625,,"[0.6113321100513349, 0.37605677420709693, 0.9701808808282643, 0.24822672381870672]","[0.13188221103418685, 0.6019736411572805, 0.9660345252907676, 0.358663353905973]"
297,-257982.5625,-250355.59375,,"[0.5952461210560483, 0.37530082916293667, 1.0, 0.318832001085416]","[0.08186829933342982, 0.5959443100956446, 0.9877903328235551, 0.31092905442051566]"
298,-284682.03125,-277454.625,,"[0.5647298674452945, 0.3397206795794448, 0.9435061513662236, 0.35324347049744675]","[0.12255515926617036, 0.6172770289640013, 0.955212062541214, 0.31804599384635784]"
299,-275417.09375,-268191.3125,,"[0.5848980908874511, 0.3106134461457427, 0.9015120673240541, 0.36471492046707454]","[0.09083040009521914, 0.5722254893689546, 1.0, 0.37161960418432227]"
300,-295925.78125,-287753.78125,0.7366666666421111,"[0.5571312386459559, 0.37326445515376544, 0.9495200607185479, 0.2796834043226598]","[0.07229196163445387, 0.6092934026771232, 0.948889378505198, 0.3643616432508529]"
301,-316970.21875,-308217.25,,"[0.5917635350822882, 0.35953580997804324, 0.9844959928188612, 0.27839723867727734]","[0.07980863868783242, 0.6456435309787113, 0.9055029134684446, 0.33256534500355944]"
302,-259532.671875,-260368.390625,,"[0.6619105928445023, 0.2904325524825344, 0.9508376197075086, 0.27007479451830413]","[0.12959953865113447, 0.5680689194541826, 0.9606693114432454, 0.3986449000637392]"
303,-276463.375,-269312.1875,,"[0.6413567690527453, 0.36211377404795847, 0.9863106093507068, 0.2856161654367978]","[0.121295061358104, 0.6102802549076581, 0.9527473763606763, 0.28345125973093216]"
304,-266858.625,-259948.34375,,"[0.6315189181263912, 0.3661391722977704, 0.9305241659081537, 0.317046863527844]","[0.11199772236290853, 0.6525877474696588, 1.0, 0.3170875603768356]"
305,-234734.796875,-235486.703125,,"[0.6610423644772535, 0.3650443054059548, 0.9447652224166588, 0.3334428131739057]","[0.09404272638379887, 0.5677034430447272, 1.0, 0.31306148597704425]"
306,-223620.375,-221164.03125,,"[0.6972618930248003, 0.37521602138926086, 0.9751086117248303, 0.3416038310091121]","[0.1753952952681052, 0.6748766669295568, 0.9784126470519765, 0.31337383500106314]"
307,-207645.734375,-205326.40625,,"[0.674978914837189, 0.34491825801035964, 0.9420210322314981, 0.32374611315394264]","[0.16429121083233017, 0.5675144216757381, 0.9805889074265907, 0.3389576493272445]"
308,-199320.78125,-194064.765625,,"[0.6259521558927498, 0.35974511426135863, 1.0, 0.35788647203384655]","[0.10401099611591083, 0.6178245399046365, 0.9557840010110975, 0.3121107212026223]"
309,-196658.171875,-191720.921875,,"[0.6534679292676029, 0.35526300120342746, 0.9847111122311302, 0.3039900978308895]","[0.10211810264540258, 0.6086761571395686, 0.9557017679357781, 0.32144371676778843]"
310,-217928.484375,-211777.421875,,"[0.6655316751127041, 0.3594997013822991, 0.9741755554789145, 0.21822577729073078]","[0.19267054852073956, 0.6514764147941865, 0.9565592322380999, 0.33435039675333716]"
311,-173100.5625,-173633.421875,,"[0.6317525580423523, 0.3683287707132452, 0.9669842381368906, 0.30981387621889167]","[0.08014088865323128, 0.5993164433747452, 1.0, 0.35120781624731634]"
312,-76268.140625,-76503.4375,,"[0.6172954776534626, 0.2759188978995192, 0.9520214824970671, 0.3755862238067412]","[0.12944133147715725, 0.6018525017159042, 0.9549583282104731, 0.3318473922659021]"
313,-89197.234375,-86951.5625,,"[0.659784584743648, 0.3203663679034905, 0.9630893241200171, 0.31746887216151676]","[0.04740503544602287, 0.6221691426357718, 0.9744311479494611, 0.347437830314964]"
314,-88323.4140625,-86062.015625,,"[0.6371846251156131, 0.3584500475738119, 0.8972333649959546, 0.2850943003042231]","[0.13215440245946844, 0.5896367538044461, 1.0, 0.3036041424023109]"
315,-40539.16796875,-40662.23046875,,"[0.6147042765200847, 0.3121062561218621, 0.9309299129746539, 0.33870680032852246]","[0.0633287302958009, 0.5711281322032252, 0.9569391683935933, 0.31986376953773266]"
316,-56186.19140625,-54722.20703125,,"[0.626485296209578, 0.35705274962720757, 0.9424826738364814, 0.2432886186868182]","[0.06292972344041624, 0.6021777823522051, 1.0, 0.41991753000834614]"
317,-60477.5859375,-58927.203125,,"[0.65828444802865, 0.3592277716417385, 0.9456213599697264, 0.31871940606632804]","[0.04978851634092178, 0.6204199254984955, 0.9651901469480153, 0.3579454478898305]"
318,-65430.66015625,-63804.3203125,,"[0.7154199229355991, 0.3844522167818987, 0.8859969580250324, 0.305989856647654]","[0.09444074394803838, 0.6030993811816183, 0.9705378688710931, 0.33163964812319235]"
319,-125727.4140625,-122100.9453125,,"[0.6629153524484045, 0.31364214318273326, 0.9508355238724063, 0.3120479220759385]","[0.16411509241045355, 0.6014800544471858, 0.98015017676029, 0.2996428413623344]"
320,-148903.03125,-144952.015625,,"[0.6298076938597148, 0.3260822111419256, 0.8927942165302317, 0.30222294660600674]","[0.14340420215029326, 0.693476111401219, 0.9637770830163791, 0.32690808828024576]"
321,-163175.296875,-158917.796875,,"[0.5891085881613173, 0.34967318742758063, 0.9578253100590811, 0.3044460897015446]","[0.12890369834530616, 0.5925113923992544, 0.9640866110328038, 0.3302384356036044]"
322,-203386.25,-194427.890625,,"[0.6687532330948627, 0.30540674883098434, 0.8747978844143214, 0.23916763439164979]","[0.1039263497698952, 0.6701791867001897, 0.9549011378444547, 0.352204140037378]"
323,-209494.0,-201103.359375,,"[0.5813274339050258, 0.36736215397271127, 0.9127848190697975, 0.24218927947179048]","[0.1248346091817083, 0.6002263629731049, 0.9556970103749034, 0.28029383928855933]"
324,-206934.640625,-201343.890625,,"[0.6284004549586898, 0.3506634476117094, 0.9343657773775071, 0.30282171233636596]","[0.10762117778806274, 0.6487110768843259, 1.0, 0.3349141745605852]"
325,-159961.40625,-160425.28125,,"[0.6914898311299135, 0.364176662481564, 0.9052836792382717, 0.2750199793153097]","[0.12427811659172505, 0.5979799726339371, 0.9690132757976319, 0.26195716498763405]"
326,-193363.765625,-187767.75,,"[0.632761743210995, 0.3633600666981495, 0.9874868113398255, 0.3035920895993384]","[0.14572091096467726, 0.6611824759409096, 0.9357309582623126, 0.3437982928328192]"
327,-208838.984375,-203368.5625,,"[0.6646696865103043, 0.31563275052453554, 0.9538702102765357, 0.2810309817894847]","[0.10107699530133155, 0.6013236477517211, 0.9959661592715461, 0.3181638931030923]"
328,-176392.234375,-176895.609375,,"[0.6190223787935824, 0.31883439803729186, 1.0, 0.28350288866562445]","[0.09348794252268, 0.6220508607945899, 0.9194080638116982, 0.3433955860407283]"
329,-185674.640625,-180724.828125,,"[0.5911835673435406, 0.368408987149824, 1.0, 0.27676730095036384]","[0.15699941055035524, 0.5727368237252283, 0.9509333733099135, 0.4013126854480623]"
330,-160580.53125,-161037.59375,,"[0.6505700620196834, 0.38702782265937274, 0.9416107027422683, 0.33173425947125484]","[0.17489059556428815, 0.566402826688377, 0.9030788675561863, 0.3211338053544129]"
331,-169368.140625,-164850.453125,,"[0.7230348137329103, 0.35381387260350144, 0.9636025162778028, 0.26838067011968003]","[0.13688526811466456, 0.6151628930133237, 0.8701947891320208, 0.370339528607613]"
332,-185586.765625,-180555.25,,"[0.6949348679566163, 0.3524808968139978, 0.9511020800321079, 0.32674537618096466]","[0.13874583293231998, 0.5901068450599332, 0.9752171038852281, 0.34595634342492726]"
333,-165374.328125,-165839.734375,,"[0.6253470492083545, 0.34404113962340416, 0.9271380983375931, 0.3355109097929857]","[0.16907466187149, 0.6075406193618409, 0.9698365672491754, 0.32396491330800986]"
334,-162602.21875,-158262.90625,,"[0.665458415147871, 0.3677512783332174, 0.9720303960063699, 0.3202108603912591]","[0.12561091382667713, 0.5964878307029512, 1.0, 0.32200981982021637]"
335,-107263.3828125,-107557.2734375,,"[0.6539833811736786, 0.36292905270754433, 0.9584417928181511, 0.252956545808432]","[0.10967285848011625, 0.5980405344879612, 0.9222073236571586, 0.33587448943809595]"
336,-119208.8984375,-117807.1171875,,"[0.662152758094563, 0.34586961432638713, 1.0, 0.2876323936800829]","[0.09686910902118848, 0.5814820631116537, 0.9921341495415502, 0.34839596271996015]"
337,-167203.078125,-162420.890625,,"[0.6767370547434702, 0.3436290181836693, 0.9366795930447341, 0.2963350978523474]","[0.1312965566454576, 0.6180247059071811, 0.983460658445591, 0.2821496479114909]"
338,-171446.921875,-166932.875,,"[0.6410884498721323, 0.35911653909934627, 1.0, 0.22392479876366717]","[0.16161377335477783, 0.5803854967028251, 0.9402821644975955, 0.28528114666405213]"
339,-175136.546875,-170596.5,,"[0.6677926240211122, 0.3969259941464604, 0.9196293943698817, 0.28641788969909354]","[0.1011576256132695, 0.6191560189499696, 0.9888272612513651, 0.3311188582185994]"
340,-180194.78125,-175371.03125,,"[0.7014582003025355, 0.3486837546856704, 1.0, 0.23749923077913968]","[0.11061004924484757, 0.5892612555550332, 0.8886700136465647, 0.3059537346629264]"
341,-209910.46875,-204098.328125,,"[0.6362469675080061, 0.3428709798996223, 0.9428179375951311, 0.2779173323271679]","[0.13625307266539316, 0.6177208417077708, 0.9577326784082927, 0.38053062180173836]"
342,-223987.90625,-217784.90625,,"[0.7162046105695964, 0.4052791320167082, 1.0, 0.3221486846598052]","[0.12762388970054694, 0.6253526547802889, 0.9618274848236562, 0.329625792877999]"
343,-229150.3125,-223106.921875,,"[0.6587779832665696, 0.3528852040391275, 0.9662802606342166, 0.2970190330537628]","[0.17831999357517686, 0.6367821017624168, 0.9537172571395269, 0.35775235980010117]"
344,-227893.390625,-221973.1875,,"[0.6472965120408309, 0.33956582320354806, 0.9587494453430895, 0.3128360790013338]","[0.13454487892162365, 0.6081208923006396, 0.9370011591717811, 0.31896473853929647]"
345,-126179.8984375,-126512.875,,"[0.6583285908963017, 0.3440091157341508, 1.0, 0.3314208517531675]","[0.11544562267972902, 0.602974952903083, 0.89107071513823, 0.3673947076126106]"
346,-115280.6640625,-115582.296875,,"[0.641583245160937, 0.3393196740608139, 0.975273859757184, 0.3020518319810048]","[0.11519978507580694, 0.627322065518036, 0.932407276358023, 0.3449649985704935]"
347,-161700.6875,-156972.234375,,"[0.6523749849418805, 0.332991202297874, 1.0, 0.30164696694768156]","[0.1624452415280848, 0.6284682626224577, 1.0, 0.2530321248391543]"
348,-181557.640625,-176596.109375,,"[0.6497635781209794, 0.36702593875244943, 0.9881432159324766, 0.3534034339881603]","[0.12362253782475528, 0.6057863135030592, 0.9567410725436898, 0.3448023269982888]"
349,-159197.59375,-159614.140625,,"[0.6633095935405966, 0.34924457474996423, 0.9784739240782351, 0.2119235600344045]","[0.08831438366154375, 0.5909114011016209, 0.9674566999864005, 0.34277351755200197]"
350,-192536.46875,-187001.40625,0.737142857121796,"[0.7057358110024287, 0.33742399343168905, 0.9479529431978689, 0.2624401611360793]","[0.09092866194230365, 0.5535005704327638, 0.9499729053740245, 0.39533046294181584]"
351,-211348.34375,-202544.28125,,"[0.6421588376317915, 0.34700918412965376, 0.9617235757249745, 0.3376592163982479]","[0.09835033864946681, 0.5903698683606718, 0.9623825136071055, 0.36255768014724465]"
352,-211077.328125,-205733.046875,,"[0.6213438554623908, 0.36106083145234713, 1.0, 0.30408126645584216]","[0.17256212361916934, 0.6262433328152738, 1.0, 0.3453868619171775]"
353,-212561.703125,-206740.5625,,"[0.6160559280061179, 0.34221832629535726, 0.9558023390272643, 0.2823685179752851]","[0.14849971074732143, 0.6129403128983097, 0.9873947954337988, 0.36459704095963047]"
354,-227112.578125,-220893.65625,,"[0.6205515314553314, 0.3591113555836282, 0.9971703553096745, 0.2785638768854356]","[0.10383501348687715, 0.6072820741614215, 0.9591474320901248, 0.36844767660903915]"
355,-245436.765625,-238598.34375,,"[0.633748934762178, 0.3443225670515611, 0.9776277892884934, 0.26431592428088174]","[0.08934670647602112, 0.5772142799139673, 0.9474027938947416, 0.30580336416406584]"
356,-269662.8125,-262016.25,,"[0.6011912177739869, 0.35320784956741325, 0.9872763248373674, 0.2670021550176874]","[0.16142985129222262, 0.6290130343180963, 0.9758172301189734, 0.32119717566317135]"
357,-248553.078125,-249172.78125,,"[0.7277965811702809, 0.36236127866678913, 0.9483978008048837, 0.22776747266369202]","[0.13587344466002355, 0.6275815102714448, 0.8993705242387191, 0.35088947986886343]"
358,-253091.625,-246143.4375,,"[0.6560950683160672, 0.3448493171688144, 0.9760248194562422, 0.23467725925334365]","[0.09980812204316045, 0.6990118357308971, 0.9628227964616595, 0.2320177061658013]"
359,-258534.625,-251544.15625,,"[0.6116704673679687, 0.30051489336041926, 0.993893631673044, 0.27234237913904985]","[0.0752755228318425, 0.5567878106119506, 1.0, 0.34331156234346916]"
360,-250966.90625,-244180.828125,,"[0.7044077511565932, 0.32747718903376094, 0.9704169048899886, 0.2667294589551155]","[0.10265908529246842, 0.632075062851655, 0.97569074876414, 0.31855116041103315]"
361,-220081.703125,-220622.609375,,"[0.6363158166516113, 0.41965706728355356, 0.9524264341052444, 0.32689021725476736]","[0.14649167963230833, 0.5676895076432305, 1.0, 0.34912880592815254]"
362,-168000.015625,-168405.6875,,"[0.6724694395092903, 0.30299247168324306, 1.0, 0.29802751229575347]","[0.14822936807857742, 0.6362120495496325, 0.935203162887143, 0.3645804236736603]"
363,-142177.015625,-142522.765625,,"[0.6598945216368408, 0.33290858313993754, 0.98632289380991, 0.2885583882674952]","[0.11871952602540635, 0.5419042296297777, 0.9251987592111868, 0.3708251887348034]"
364,-51128.08203125,-51251.09765625,,"[0.6216282135174235, 0.3568810948921571, 1.0, 0.2995716416517742]","[0.0741848633536607, 0.5976750633286777, 0.9546320272741562, 0.3003918275928974]"
365,-22366.16796875,-22419.408203125,,"[0.6481421408557654, 0.3538216646211768, 0.9829484048019863, 0.27670036743216153]","[0.08335615469737567, 0.6294480314640989, 0.9232039561436863, 0.37195609537605834]"
366,-11351.4306640625,-11378.5107421875,,"[0.642038643343039, 0.37016005021123544, 0.9601663439278177, 0.2971135431621539]","[0.10586678019208483, 0.5758664269636058, 0.9122311382997784, 0.3338941020102708]"
367,-76765.78125,-74505.6171875,,"[0.6297412003223868, 0.35403227011402116, 0.9678594565291174, 0.31069336465008535]","[0.07183287315023035, 0.6428000191057947, 1.0, 0.3280259869912492]"
368,-37003.640625,-37091.11328125,,"[0.6828436961940044, 0.34034057409102375, 1.0, 0.23462664590229057]","[0.10147377822724453, 0.6286775798331046, 0.99977929453777, 0.3298982002531878]"
369,-68741.6875,-66815.0234375,,"[0.7179679889595562, 0.2974027600773878, 0.970962909935109, 0.2796545116207158]","[0.13336514020951193, 0.6916447393596229, 0.9870281743400391, 0.34847977908692224]"
370,-100287.0625,-97566.9609375,,"[0.6562797069561582, 0.35944522974047327, 0.9533310967081703, 0.3137155504020476]","[0.10581955865971482, 0.6151894678044885, 1.0, 0.3332307234596997]"
371,-151344.671875,-144473.453125,,"[0.6811361187931053, 0.39228295367915444, 0.9659447119743355, 0.29718391812989525]","[0.12826087412787354, 0.6374665321276669, 1.0, 0.3263730376560582]"
372,-201731.90625,-195978.546875,,"[0.6855838920703298, 0.3451191893067682, 0.974429803924349, 0.22870606650580141]","[0.11205016066214642, 0.69324407726329, 0.9556778528178823, 0.3616143653940911]"
373,-219924.734375,-213757.5625,,"[0.6299019826182077, 0.33000715508625694, 0.9600932495896223, 0.30925882987026254]","[0.09793539767203228, 0.6420752531026278, 1.0, 0.33402554577292914]"
374,-216297.484375,-210513.25,,"[0.6407765892241133, 0.33781078137089615, 1.0, 0.28612531939825464]","[0.05195221747718935, 0.6248153466001504, 0.9583000191200568, 0.3193359063636581]"
375,-206995.421875,-201545.84375,,"[0.588479957010748, 0.3562109554291733, 1.0, 0.2712104158457395]","[0.09618913163661086, 0.6153292215368226, 1.0, 0.37232770330743026]"
376,-116856.1328125,-117121.1875,,"[0.6599775656255851, 0.365806715229471, 0.9895160314851015, 0.3088389061505812]","[0.13844975994940995, 0.6817171269247143, 0.92850527950314, 0.26901567479379135]"
377,-133820.921875,-130237.3671875,,"[0.6071883376381724, 0.3539313274376037, 1.0, 0.3462993915761456]","[0.14009829081366212, 0.5804155669029537, 0.9498377840461696, 0.36053473671600916]"
378,-174800.09375,-167109.96875,,"[0.6334408797040592, 0.39936316125327764, 1.0, 0.32583681208866594]","[0.06256601123609859, 0.6716577173747977, 0.9834772303416892, 0.3113469940330792]"
379,-194972.921875,-189748.953125,,"[0.653559495802755, 0.3577896169623936, 0.9986578379773372, 0.32425509032223776]","[0.1196296762668417, 0.6298684700228422, 0.9966024408351071, 0.37457133806589293]"
380,-154665.859375,-155010.578125,,"[0.6732004901376497, 0.3675052350741019, 0.9406958075298275, 0.2821108137605685]","[0.07857724601020388, 0.6875397105258854, 0.9297113242304146, 0.3208597908250207]"
381,-169228.890625,-164689.46875,,"[0.6215078277499284, 0.3012379165032043, 0.9636485426429225, 0.2565335445182814]","[0.11784977521738753, 0.5913521621661022, 1.0, 0.3190011414794366]"
382,-175075.65625,-170224.8125,,"[0.6070200447797129, 0.32596952912032406, 0.9831737395339119, 0.2541578207425606]","[0.11712332992224704, 0.5989770666447458, 0.9804975551166881, 0.31807291750218303]"
