move,progress,norm_mob,norm_cent,norm_doubles
48,-3.0,0.28125,0.03125,0.0
49,-2.0,0.23333333333333334,0.03125,0.0
49,2.0,-0.23333333333333334,-0.03125,0.0
50,3.0,-0.37037037037037035,-0.03125,0.0
50,-3.0,0.37037037037037035,0.03125,0.0
51,-2.0,0.2916666666666667,0.015625,0.0
51,2.0,-0.2916666666666667,-0.015625,0.0
52,2.0,0.0,-0.015625,0.0
52,-2.0,0.0,0.015625,0.0
53,-1.0,-0.10714285714285714,0.0,0.0
53,1.0,0.10714285714285714,0.0,0.0
54,2.0,0.038461538461538464,0.0,0.0
54,-2.0,-0.038461538461538464,0.0,0.0
55,-2.0,0.12903225806451613,0.0,0.0
55,2.0,-0.12903225806451613,0.0,0.0
56,3.0,-0.09375,0.015625,0.0
56,-3.0,0.09375,-0.015625,0.0
57,-2.0,0.09375,-0.015625,0.0
57,2.0,-0.09375,0.015625,0.0
58,3.0,-0.12903225806451613,0.015625,0.0
58,-3.0,0.12903225806451613,-0.015625,0.0
59,-2.0,0.15625,0.0,0.6666666666666666
59,2.0,-0.15625,0.0,-0.6666666666666666
60,3.0,-0.48,0.0,-0.6666666666666666
